LCLid,tstp,energy(kWh/hh)
MAC000223,2013-01-01 00:00:00, 0.087 
MAC000223,2013-01-01 00:30:00, 0.093 
MAC000223,2013-01-01 01:00:00, 0.123 
MAC000223,2013-01-01 01:30:00, 0.073 
MAC000223,2013-01-01 02:00:00, 0.048 
MAC000223,2013-01-01 02:30:00, 0.043 
MAC000223,2013-01-01 03:00:00, 0.033 
MAC000223,2013-01-01 03:30:00, 0.058 
MAC000223,2013-01-01 04:00:00, 0.065 
MAC000223,2013-01-01 04:30:00, 0.076 
MAC000223,2013-01-01 05:00:00, 0.058 
MAC000223,2013-01-01 05:30:00, 0.054 
MAC000223,2013-01-01 06:00:00, 0.055 
MAC000223,2013-01-01 06:30:00, 0.069 
MAC000223,2013-01-01 07:00:00, 0.025 
MAC000223,2013-01-01 07:30:00, 0.015 
MAC000223,2013-01-01 08:00:00, 0.014 
MAC000223,2013-01-01 08:30:00, 0.031 
MAC000223,2013-01-01 09:00:00, 0.03 
MAC000223,2013-01-01 09:30:00, 0.017 
MAC000223,2013-01-01 10:00:00, 0.017 
MAC000223,2013-01-01 10:30:00, 0.027 
MAC000223,2013-01-01 11:00:00, 0.048 
MAC000223,2013-01-01 11:30:00, 0.175 
MAC000223,2013-01-01 12:00:00, 0.061 
MAC000223,2013-01-01 12:30:00, 0.042 
MAC000223,2013-01-01 13:00:00, 0.04 
MAC000223,2013-01-01 13:30:00, 0.019 
MAC000223,2013-01-01 14:00:00, 0.017 
MAC000223,2013-01-01 14:30:00, 0.017 
MAC000223,2013-01-01 15:00:00, 0.039 
MAC000223,2013-01-01 15:30:00, 0.023 
MAC000223,2013-01-01 16:00:00, 0.016 
MAC000223,2013-01-01 16:30:00, 0.017 
MAC000223,2013-01-01 17:00:00, 0.038 
MAC000223,2013-01-01 17:30:00, 0.495 
MAC000223,2013-01-01 18:00:00, 0.475 
MAC000223,2013-01-01 18:30:00, 0.506 
MAC000223,2013-01-01 19:00:00, 0.546 
MAC000223,2013-01-01 19:30:00, 1.598 
MAC000223,2013-01-01 20:00:00, 0.746 
MAC000223,2013-01-01 20:30:00, 0.41 
MAC000223,2013-01-01 21:00:00, 0.683 
MAC000223,2013-01-01 21:30:00, 0.534 
MAC000223,2013-01-01 22:00:00, 0.53 
MAC000223,2013-01-01 22:30:00, 0.585 
MAC000223,2013-01-01 23:00:00, 0.529 
MAC000223,2013-01-01 23:30:00, 0.528 
MAC000223,2013-01-02 00:00:00, 0.531 
MAC000223,2013-01-02 00:30:00, 0.526 
MAC000223,2013-01-02 01:00:00, 0.469 
MAC000223,2013-01-02 01:30:00, 0.464 
MAC000223,2013-01-02 02:00:00, 0.465 
MAC000223,2013-01-02 02:30:00, 0.444 
MAC000223,2013-01-02 03:00:00, 0.444 
MAC000223,2013-01-02 03:30:00, 0.448 
MAC000223,2013-01-02 04:00:00, 0.455 
MAC000223,2013-01-02 04:30:00, 0.451 
MAC000223,2013-01-02 05:00:00, 0.462 
MAC000223,2013-01-02 05:30:00, 0.471 
MAC000223,2013-01-02 06:00:00, 0.469 
MAC000223,2013-01-02 06:30:00, 0.442 
MAC000223,2013-01-02 07:00:00, 0.441 
MAC000223,2013-01-02 07:30:00, 0.457 
MAC000223,2013-01-02 08:00:00, 0.29 
MAC000223,2013-01-02 08:30:00, 1.239 
MAC000223,2013-01-02 09:00:00, 0.591 
MAC000223,2013-01-02 09:30:00, 0.056 
MAC000223,2013-01-02 10:00:00, 0.048 
MAC000223,2013-01-02 10:30:00, 0.056 
MAC000223,2013-01-02 11:00:00, 0.032 
MAC000223,2013-01-02 11:30:00, 0.028 
MAC000223,2013-01-02 12:00:00, 0.028 
MAC000223,2013-01-02 12:30:00, 0.034 
MAC000223,2013-01-02 13:00:00, 0.031 
MAC000223,2013-01-02 13:30:00, 0.032 
MAC000223,2013-01-02 14:00:00, 0.051 
MAC000223,2013-01-02 14:30:00, 0.056 
MAC000223,2013-01-02 15:00:00, 0.043 
MAC000223,2013-01-02 15:30:00, 0.026 
MAC000223,2013-01-02 16:00:00, 0.03 
MAC000223,2013-01-02 16:30:00, 0.034 
MAC000223,2013-01-02 17:00:00, 0.029 
MAC000223,2013-01-02 17:30:00, 0.026 
MAC000223,2013-01-02 18:00:00, 0.049 
MAC000223,2013-01-02 18:30:00, 0.058 
MAC000223,2013-01-02 19:00:00, 0.072 
MAC000223,2013-01-02 19:30:00, 0.044 
MAC000223,2013-01-02 20:00:00, 0.055 
MAC000223,2013-01-02 20:30:00, 0.168 
MAC000223,2013-01-02 21:00:00, 0.496 
MAC000223,2013-01-02 21:30:00, 0.797 
MAC000223,2013-01-02 22:00:00, 1.064 
MAC000223,2013-01-02 22:30:00, 0.945 
MAC000223,2013-01-02 23:00:00, 0.727 
MAC000223,2013-01-02 23:30:00, 0.236 
MAC000223,2013-01-03 00:00:00, 0.463 
MAC000223,2013-01-03 00:30:00, 0.46 
MAC000223,2013-01-03 01:00:00, 0.45 
MAC000223,2013-01-03 01:30:00, 0.455 
MAC000223,2013-01-03 02:00:00, 0.446 
MAC000223,2013-01-03 02:30:00, 0.441 
MAC000223,2013-01-03 03:00:00, 0.446 
MAC000223,2013-01-03 03:30:00, 0.447 
MAC000223,2013-01-03 04:00:00, 0.461 
MAC000223,2013-01-03 04:30:00, 0.463 
MAC000223,2013-01-03 05:00:00, 0.465 
MAC000223,2013-01-03 05:30:00, 0.463 
MAC000223,2013-01-03 06:00:00, 0.443 
MAC000223,2013-01-03 06:30:00, 0.453 
MAC000223,2013-01-03 07:00:00, 0.434 
MAC000223,2013-01-03 07:30:00, 0.473 
MAC000223,2013-01-03 08:00:00, 0.538 
MAC000223,2013-01-03 08:30:00, 0.223 
MAC000223,2013-01-03 09:00:00, 0.182 
MAC000223,2013-01-03 09:30:00, 0.387 
MAC000223,2013-01-03 10:00:00, 0.568 
MAC000223,2013-01-03 10:30:00, 0.713 
MAC000223,2013-01-03 11:00:00, 1.184 
MAC000223,2013-01-03 11:30:00, 0.701 
MAC000223,2013-01-03 12:00:00, 0.938 
MAC000223,2013-01-03 12:30:00, 0.249 
MAC000223,2013-01-03 13:00:00, 0.235 
MAC000223,2013-01-03 13:30:00, 0.218 
MAC000223,2013-01-03 14:00:00, 0.604 
MAC000223,2013-01-03 14:30:00, 0.837 
MAC000223,2013-01-03 15:00:00, 0.927 
MAC000223,2013-01-03 15:30:00, 0.85 
MAC000223,2013-01-03 16:00:00, 0.581 
MAC000223,2013-01-03 16:30:00, 0.805 
MAC000223,2013-01-03 17:00:00, 0.689 
MAC000223,2013-01-03 17:30:00, 0.604 
MAC000223,2013-01-03 18:00:00, 0.659 
MAC000223,2013-01-03 18:30:00, 0.629 
MAC000223,2013-01-03 19:00:00, 0.62 
MAC000223,2013-01-03 19:30:00, 0.706 
MAC000223,2013-01-03 20:00:00, 0.784 
MAC000223,2013-01-03 20:30:00, 0.741 
MAC000223,2013-01-03 21:00:00, 0.734 
MAC000223,2013-01-03 21:30:00, 0.92 
MAC000223,2013-01-03 22:00:00, 0.741 
MAC000223,2013-01-03 22:30:00, 0.738 
MAC000223,2013-01-03 23:00:00, 0.794 
MAC000223,2013-01-03 23:30:00, 0.694 
MAC000223,2013-01-04 00:00:00, 0.685 
MAC000223,2013-01-04 00:30:00, 0.687 
MAC000223,2013-01-04 01:00:00, 0.685 
MAC000223,2013-01-04 01:30:00, 0.655 
MAC000223,2013-01-04 02:00:00, 0.604 
MAC000223,2013-01-04 02:30:00, 0.594 
MAC000223,2013-01-04 03:00:00, 0.597 
MAC000223,2013-01-04 03:30:00, 0.598 
MAC000223,2013-01-04 04:00:00, 0.606 
MAC000223,2013-01-04 04:30:00, 0.619 
MAC000223,2013-01-04 05:00:00, 0.611 
MAC000223,2013-01-04 05:30:00, 0.588 
MAC000223,2013-01-04 06:00:00, 0.587 
MAC000223,2013-01-04 06:30:00, 0.594 
MAC000223,2013-01-04 07:00:00, 0.55 
MAC000223,2013-01-04 07:30:00, 0.538 
MAC000223,2013-01-04 08:00:00, 0.232 
MAC000223,2013-01-04 08:30:00, 0.385 
MAC000223,2013-01-04 09:00:00, 0.724 
MAC000223,2013-01-04 09:30:00, 0.209 
MAC000223,2013-01-04 10:00:00, 0.251 
MAC000223,2013-01-04 10:30:00, 0.599 
MAC000223,2013-01-04 11:00:00, 0.702 
MAC000223,2013-01-04 11:30:00, 0.572 
MAC000223,2013-01-04 12:00:00, 0.415 
MAC000223,2013-01-04 12:30:00, 0.051 
MAC000223,2013-01-04 13:00:00, 0.057 
MAC000223,2013-01-04 13:30:00, 0.037 
MAC000223,2013-01-04 14:00:00, 0.028 
MAC000223,2013-01-04 14:30:00, 0.029 
MAC000223,2013-01-04 15:00:00, 0.034 
MAC000223,2013-01-04 15:30:00, 0.032 
MAC000223,2013-01-04 16:00:00, 0.048 
MAC000223,2013-01-04 16:30:00, 0.049 
MAC000223,2013-01-04 17:00:00, 0.033 
MAC000223,2013-01-04 17:30:00, 0.034 
MAC000223,2013-01-04 18:00:00, 0.03 
MAC000223,2013-01-04 18:30:00, 0.028 
MAC000223,2013-01-04 19:00:00, 0.032 
MAC000223,2013-01-04 19:30:00, 0.055 
MAC000223,2013-01-04 20:00:00, 0.045 
MAC000223,2013-01-04 20:30:00, 0.03 
MAC000223,2013-01-04 21:00:00, 0.027 
MAC000223,2013-01-04 21:30:00, 0.027 
MAC000223,2013-01-04 22:00:00, 0.575 
MAC000223,2013-01-04 22:30:00, 1.105 
MAC000223,2013-01-04 23:00:00, 0.92 
MAC000223,2013-01-04 23:30:00, 1.033 
MAC000223,2013-01-05 00:00:00, 1.056 
MAC000223,2013-01-05 00:30:00, 0.833 
MAC000223,2013-01-05 01:00:00, 0.493 
MAC000223,2013-01-05 01:30:00, 0.464 
MAC000223,2013-01-05 02:00:00, 0.445 
MAC000223,2013-01-05 02:30:00, 0.452 
